avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_trigger_price,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_price,opening_rel_volume,outcome_ambiguous,passed_filters,pnl_r,position_value,quantity,rank,rejection_reason,risk_amount,scenario,selected,session_date,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time
42475177.428571425,18094.571428571428,True,bearish,416.2124034079644,baseline,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,467.60451753516935,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,5.383287506593091,20000.0,49.53437685753914,1,None,77.3156557026195,intended_deployment,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
42475177.428571425,18094.571428571428,True,bearish,364.8202892807623,stressed,15.6084845732451,short,403.76,394.32,eod_flatten,2026-07-15 19:59:00,467.60451753516935,2026-07-15 13:35:00,404.175,1.9784386793197646,False,True,4.718582361688514,20000.0,49.53437685753914,1,None,77.3156557026195,intended_deployment,True,2026-07-15,403.76,False,405.3208484573245,TSLA,2026-07-15 13:42:00
70684763.57142857,44490.642857142855,True,bullish,1161.5648894380495,zero,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,1161.5648894380495,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,4.646259557752198,74143.54563730086,225.9853870502023,1,None,250.0,research_fidelity,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
70684763.57142857,44490.642857142855,True,bullish,967.2816364247868,baseline,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,1161.5648894380495,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,3.8691265456991473,74143.54563730086,225.9853870502023,1,None,250.0,research_fidelity,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
70684763.57142857,44490.642857142855,True,bullish,772.9983834115499,stressed,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,1161.5648894380495,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,3.0919935336461997,74143.54563730086,225.9853870502023,1,None,250.0,research_fidelity,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
70684763.57142857,44490.642857142855,True,bullish,313.3286598189548,zero,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,313.3286598189548,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,4.646259557752199,20000.0,60.95888323325917,1,None,67.4367533548942,intended_deployment,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
70684763.57142857,44490.642857142855,True,bullish,260.92133256118717,baseline,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,313.3286598189548,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,3.8691265456991477,20000.0,60.95888323325917,1,None,67.4367533548942,intended_deployment,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
70684763.57142857,44490.642857142855,True,bullish,208.5140053034265,stressed,11.06266220410365,long,328.09,333.23,eod_flatten,2026-07-16 19:59:00,313.3286598189548,2026-07-16 13:35:00,327.71,1.0129096166288578,False,True,3.0919935336461997,20000.0,60.95888323325917,1,None,67.4367533548942,intended_deployment,True,2026-07-16,328.09,False,326.9837337795896,AAPL,2026-07-16 13:40:00
139281585.7857143,98570.28571428571,True,bearish,-250.0,zero,6.200187658419861,short,199.42,200.04001876584198,stop,2026-07-17 13:53:00,-250.0,2026-07-17 13:35:00,199.455,2.178618012962469,False,True,-1.0,80408.8565485538,403.21360218911747,1,None,250.0,research_fidelity,True,2026-07-17,199.42,True,200.04001876584198,NVDA,2026-07-17 13:40:00
139281585.7857143,98570.28571428571,True,bearish,-459.38802702624037,baseline,6.200187658419861,short,199.42,200.04001876584198,stop,2026-07-17 13:53:00,-250.0,2026-07-17 13:35:00,199.455,2.178618012962469,False,True,-1.8375521081049615,80408.8565485538,403.21360218911747,1,None,250.0,research_fidelity,True,2026-07-17,199.42,True,200.04001876584198,NVDA,2026-07-17 13:40:00
139281585.7857143,98570.28571428571,True,bearish,-668.7760540524807,stressed,6.200187658419861,short,199.42,200.04001876584198,stop,2026-07-17 13:53:00,-250.0,2026-07-17 13:35:00,199.455,2.178618012962469,False,True,-2.675104216209923,80408.8565485538,403.21360218911747,1,None,250.0,research_fidelity,True,2026-07-17,199.42,True,200.04001876584198,NVDA,2026-07-17 13:40:00
139281585.7857143,98570.28571428571,True,bearish,-62.18220497863712,zero,6.200187658419861,short,199.42,200.04001876584198,stop,2026-07-17 13:53:00,-62.18220497863712,2026-07-17 13:35:00,199.455,2.178618012962469,False,True,-1.0,20000.0,100.29084344599339,1,None,62.18220497863712,intended_deployment,True,2026-07-17,199.42,True,200.04001876584198,NVDA,2026-07-17 13:40:00
