cost_model,date,mode,portfolio,reason,symbol
baseline,2026-06-16,stock_only,current_1pct,max_positions,MDT
baseline,2026-06-16,stock_only,current_1pct,max_positions,WFC
baseline,2026-06-16,stock_only,current_1pct,max_positions,WMT
baseline,2026-06-16,stock_only,current_1pct,max_positions,COST
baseline,2026-06-16,stock_only,current_1pct,max_positions,PEP
baseline,2026-06-16,stock_only,current_1pct,max_positions,XLP
baseline,2026-06-17,stock_only,current_1pct,max_positions,ARM
baseline,2026-06-17,stock_only,current_1pct,max_positions,DIS
baseline,2026-06-17,stock_only,current_1pct,max_positions,FCX
baseline,2026-06-17,stock_only,current_1pct,max_positions,IBB
baseline,2026-06-17,stock_only,current_1pct,max_positions,RTX
baseline,2026-06-17,stock_only,current_1pct,max_positions,GE
baseline,2026-06-17,stock_only,current_1pct,max_positions,V
baseline,2026-06-18,stock_only,current_1pct,max_positions,AMAT
baseline,2026-06-18,stock_only,current_1pct,max_positions,C
baseline,2026-06-18,stock_only,current_1pct,max_positions,DIS
baseline,2026-06-18,stock_only,current_1pct,max_positions,INTC
baseline,2026-06-18,stock_only,current_1pct,max_positions,LOW
baseline,2026-06-18,stock_only,current_1pct,max_positions,GS
baseline,2026-06-18,stock_only,current_1pct,max_positions,XLI
baseline,2026-06-18,stock_only,current_1pct,max_positions,HD
baseline,2026-06-22,stock_only,current_1pct,max_positions,AMD
baseline,2026-06-22,stock_only,current_1pct,max_positions,PANW
baseline,2026-06-22,stock_only,current_1pct,max_positions,XLK
baseline,2026-06-22,stock_only,current_1pct,max_positions,IBB
baseline,2026-06-22,stock_only,current_1pct,max_positions,IWM
baseline,2026-06-23,stock_only,current_1pct,max_positions,PANW
baseline,2026-06-23,stock_only,current_1pct,max_positions,XLU
baseline,2026-06-23,stock_only,current_1pct,max_positions,IBB
baseline,2026-06-23,stock_only,current_1pct,max_positions,DIS
baseline,2026-06-24,stock_only,current_1pct,max_positions,IBB
baseline,2026-06-24,stock_only,current_1pct,max_positions,DIA
baseline,2026-06-24,stock_only,current_1pct,max_positions,XLU
baseline,2026-06-24,stock_only,current_1pct,max_positions,DIS
baseline,2026-06-25,stock_only,current_1pct,max_positions,MO
baseline,2026-06-25,stock_only,current_1pct,max_positions,IWM
baseline,2026-06-25,stock_only,current_1pct,max_positions,XLU
baseline,2026-06-25,stock_only,current_1pct,max_positions,AMAT
baseline,2026-06-25,stock_only,current_1pct,max_positions,LIN
baseline,2026-06-25,stock_only,current_1pct,max_positions,MU
baseline,2026-06-26,stock_only,current_1pct,already_held_or_pending,CRWD
baseline,2026-06-26,stock_only,current_1pct,max_positions,RTX
baseline,2026-06-26,stock_only,current_1pct,max_positions,UBER
baseline,2026-06-26,stock_only,current_1pct,max_positions,V
baseline,2026-06-26,stock_only,current_1pct,max_positions,SBUX
baseline,2026-06-30,stock_only,current_1pct,max_positions,IWM
baseline,2026-07-01,stock_only,current_1pct,max_positions,MRNA
baseline,2026-07-01,stock_only,current_1pct,max_positions,DIA
baseline,2026-07-01,stock_only,current_1pct,max_positions,IWM
baseline,2026-07-01,stock_only,current_1pct,max_positions,RTX
baseline,2026-07-02,stock_only,current_1pct,already_held_or_pending,CRWD
baseline,2026-07-02,stock_only,current_1pct,max_positions,MRNA
baseline,2026-07-02,stock_only,current_1pct,max_positions,KHC
baseline,2026-07-02,stock_only,current_1pct,max_positions,AMZN
baseline,2026-07-02,stock_only,current_1pct,max_positions,BKNG
baseline,2026-07-02,stock_only,current_1pct,max_positions,SPY
baseline,2026-07-06,stock_only,current_1pct,max_positions,BAC
baseline,2026-07-06,stock_only,current_1pct,max_positions,PANW
baseline,2026-07-06,stock_only,current_1pct,max_positions,SPY
baseline,2026-07-06,stock_only,current_1pct,max_positions,USB
baseline,2026-07-06,stock_only,current_1pct,max_positions,ZS
baseline,2026-07-06,stock_only,current_1pct,max_positions,GOOGL
baseline,2026-07-06,stock_only,current_1pct,max_positions,JPM
baseline,2026-07-07,stock_only,current_1pct,max_positions,NOW
baseline,2026-07-07,stock_only,current_1pct,max_positions,ADBE
