symbol,mfe_r,mae_r,missing,net_pnl,group
CVX,0.1428571428571402,1.0389610389610215,False,-199.1061050000011,loser
BKNG,2.1297709923664256,0.0687022900763391,False,634.4328999999991,winner
FCX,0.9464285714285756,1.8928571428571448,False,-43.32425999999949,loser
BX,0.03184713375795983,0.6114649681528593,False,-142.0390400000005,loser
DIS,2.3360082304526837,0.5360493827160503,False,869.61412,winner
AMD,1.0153846153846124,0.48461538461538217,False,-49.48549999999935,loser
ORCL,1.4859154929577691,0.14084507042252845,False,112.0545900000015,winner
DIS,1.5752688172043052,0.053763440860212015,False,188.4459000000005,winner
XLY,2.082191780821901,0.06849315068492724,False,319.65214,winner
LOW,2.09868421052632,0.16776315789473428,False,548.2631700000009,winner
BAC,0.11538461538459331,0.3461538461538619,False,-13.888650000001054,loser
LOW,0.4277196652719663,0.8556485355648541,False,-375.9400050000017,loser
XOM,1.0400000000000063,0.35999999999999943,False,-56.45841999999848,loser
XLU,0.3333333333333649,1.0,False,-94.24363499999929,loser
MRK,0.8491999999999962,0.5774666666666614,False,-63.82369894999941,loser
UNH,0.663390663390685,2.2260442260442477,False,-161.64312499999778,loser
DE,1.467359635811848,0.6009104704097109,False,165.24561000000023,winner
PSX,2.0102040816326436,0.9591836734693815,False,392.1099000000017,winner
EOG,1.2999999999999972,0.3200000000000003,False,25.98881999999876,winner
MO,0.048799999999999955,0.700000000000017,False,-89.20752749999964,loser
COP,2.0217391304347627,0.28260869565217234,False,463.2879999999984,winner
COP,1.0,0.03703703703703866,False,-24.450250000000192,loser
DVN,0.3976521739130372,2.598869565217418,False,-276.7115129999995,loser
UBER,0.34545454545454085,0.7636363636363658,False,-249.94770210000195,loser
GM,2.1521739130434785,0.1521739130434786,False,418.2564400000008,winner
JPM,0.6629213483145941,2.7078651685393362,False,-109.48161000000036,loser
F,0.3529411764705809,3.470588235294118,False,-207.35270500000044,loser
CVX,0.407582938388616,1.0853080568720406,False,-270.3269450000016,loser
EOG,0.20253164556961556,1.0253164556961973,False,-379.4687600000007,loser
JNJ,1.089430894308955,1.0081300813008056,False,-161.8982999999988,loser
ABBV,1.9578313253012087,0.1445783132530007,False,89.48800000000155,winner
NFLX,0.08474576271186564,0.9830508474576245,False,-457.4182250000006,loser
SCHW,0.39156626506024517,1.0843373493975994,False,-228.0836100000006,loser
ABBV,0.4479999999999791,0.704000000000019,False,-96.78686000000168,loser
AMAT,0.5147058823529435,0.5257352941176393,False,-165.13209999999953,loser
CRWD,0.5263157894736837,0.5657894736842116,False,-201.16891999999987,loser
COP,0.3405741626794237,1.0,False,-346.90798500000056,loser
DE,2.045908183632738,0.2634730538922147,False,521.924655000002,winner
MRNA,0.1064718162839228,1.1106471816283925,False,-713.2818250000008,loser
TGT,0.8043478260869494,2.717391304347821,False,-240.90242000000265,loser
SLB,1.098591549295775,1.0140845070422506,False,-328.2927400000004,loser
XLE,0.5645161290322627,0.8709677419354861,False,-115.6349350000004,loser
KHC,0.5294117647058766,0.6274509803921599,False,-182.38869999999883,loser
ADBE,1.283168316831687,0.798019801980211,False,353.89491199999713,winner
MRNA,0.38338658146965454,1.0127795527156525,False,-444.23651999999936,loser
ORCL,1.6415094339622558,0.06433962264151352,False,135.6906849999992,winner
DIA,0.1333333333333452,0.33725490196078817,False,-69.16454499999902,loser
GOOGL,0.5754716981132102,0.5310691823899316,False,-115.03357999999844,loser
DVN,2.2150000000000034,0.10999999999999943,False,509.03688,winner
XLE,2.0000000000000138,0.09803921568626932,False,438.0051200000014,winner
CRM,0.07412790697674292,1.023255813953492,False,-421.0759799999997,loser
CSCO,0.2941176470588219,0.8431372549019636,False,-192.70545000000027,loser
DVN,0.4635658914728813,1.1007751937984467,False,-350.1149549999979,loser
XLE,2.1000000000000085,0.0,False,420.00886,winner
CAT,2.955390334572489,0.605947955390344,False,517.4472599999988,winner
JPM,0.7987012987012888,0.43506493506493443,False,-78.79795000000009,loser
BA,1.9418604651162823,1.0813953488372015,False,-244.03989999999985,loser
GM,2.0000000000000133,0.32075471698113006,False,1066.0198400000024,winner
MS,1.2865853658536777,0.8963414634146409,False,-14.365259999997608,loser
NET,0.049450549450547415,1.0329670329670342,False,-621.1810800000001,loser
CMCSA,0.0702479338842923,0.9586776859504156,False,-647.9635200000025,loser
HON,1.646808510638294,0.3255319148936161,False,384.0311250000024,winner
AMAT,1.1710526315789511,0.8947368421052652,False,40.45808000000024,winner
AVGO,0.9610389610389686,0.5714285714285714,False,-91.65901499999912,loser
GM,1.8800000000000097,0.37999999999999545,False,131.0115400000011,winner
COP,0.18390804597702445,0.8908045977011423,False,-9.85970999999991,loser
